"","uuid","suspicion_rating","normed_signed_e_v","normed_unsigned_e_v","subject_lost","subject_lied","reward_block","random_pick_col","n_blue","prop_blue","random_pick_red"
"1835","61684a263a8f291d6b91bc71",0.666666666666667,1,1,1,0,"low","red",1,0.142857142857143,1
"1836","61684a263a8f291d6b91bc71",0.5,0.272727272727273,0.428571428571429,0,0,"low","red",2,0.285714285714286,1
"1837","61684a263a8f291d6b91bc71",0.5,0.363636363636364,0.285714285714286,0,0,"low","red",1,0.142857142857143,1
"1838","61684a263a8f291d6b91bc71",0.333333333333333,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1839","61684a263a8f291d6b91bc71",0.5,0.727272727272727,0.571428571428572,1,0,"low","red",4,0.571428571428571,1
"1840","61684a263a8f291d6b91bc71",0.5,0,0.857142857142857,0,0,"low","blue",5,0.714285714285714,0
"1841","61684a263a8f291d6b91bc71",0.666666666666667,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1842","61684a263a8f291d6b91bc71",0.5,0.636363636363636,0.428571428571429,1,0,"low","red",5,0.714285714285714,1
"1843","61684a263a8f291d6b91bc71",0.5,1,1,0,0,"low","blue",1,0.142857142857143,0
"1844","61684a263a8f291d6b91bc71",0.5,0.363636363636364,0.285714285714286,0,0,"low","red",1,0.142857142857143,1
"1845","61684a263a8f291d6b91bc71",0.5,1,1,1,0,"low","red",1,0.142857142857143,1
"1846","61684a263a8f291d6b91bc71",0.333333333333333,0.272727272727273,0.428571428571429,0,0,"low","red",2,0.285714285714286,1
"1847","61684a263a8f291d6b91bc71",0.5,0.363636363636364,0.285714285714286,0,0,"low","red",1,0.142857142857143,1
"1848","61684a263a8f291d6b91bc71",0.5,0.636363636363636,0.428571428571429,1,0,"low","red",5,0.714285714285714,1
"1849","61684a263a8f291d6b91bc71",0.666666666666667,0.363636363636364,0.285714285714286,0,0,"low","red",1,0.142857142857143,1
"1850","61684a263a8f291d6b91bc71",0.333333333333333,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1851","61684a263a8f291d6b91bc71",0.5,0.272727272727273,0.428571428571429,0,0,"low","red",2,0.285714285714286,1
"1852","61684a263a8f291d6b91bc71",0.5,0.363636363636364,0.285714285714286,0,0,"low","blue",1,0.142857142857143,0
"1853","61684a263a8f291d6b91bc71",0.5,0.636363636363636,0.428571428571429,1,0,"low","red",5,0.714285714285714,1
"1854","61684a263a8f291d6b91bc71",0.5,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1855","61684a263a8f291d6b91bc71",0.5,1,1,1,0,"low","red",1,0.142857142857143,1
"1856","61684a263a8f291d6b91bc71",0.5,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1857","61684a263a8f291d6b91bc71",0.5,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1858","61684a263a8f291d6b91bc71",0.5,0.363636363636364,0.285714285714286,0,0,"low","red",1,0.142857142857143,1
"1859","61684a263a8f291d6b91bc71",0.666666666666667,0.272727272727273,0.428571428571429,0,0,"low","red",2,0.285714285714286,1
