"","X","uuid","normed_signed_e_v","normed_unsigned_e_v","subject_lost","subject_lied","reward_block","lied"
"164",163,"5be9c2e7baa65d000184d1b6",0.909090909090909,0.857142857142857,"False","False",1,0
"165",164,"5be9c2e7baa65d000184d1b6",0,0.857142857142857,"False","False",1,0
"166",165,"5be9c2e7baa65d000184d1b6",0.272727272727273,0.428571428571429,"False","True",1,1
"167",166,"5be9c2e7baa65d000184d1b6",0.181818181818182,0.571428571428572,"False","True",1,1
"168",167,"5be9c2e7baa65d000184d1b6",0.545454545454545,0.285714285714286,"False","False",1,0
"169",168,"5be9c2e7baa65d000184d1b6",0.272727272727273,0.428571428571429,"False","True",1,1
"170",169,"5be9c2e7baa65d000184d1b6",0.727272727272727,0.571428571428572,"False","True",1,1
"171",170,"5be9c2e7baa65d000184d1b6",0.909090909090909,0.857142857142857,"False","True",1,1
"172",171,"5be9c2e7baa65d000184d1b6",0.363636363636364,0.285714285714286,"False","True",1,1
"173",172,"5be9c2e7baa65d000184d1b6",0.181818181818182,0.571428571428572,"False","False",1,0
"174",173,"5be9c2e7baa65d000184d1b6",0.909090909090909,0.857142857142857,"False","True",1,1
"175",174,"5be9c2e7baa65d000184d1b6",0.545454545454545,0.285714285714286,"False","False",1,0
"176",175,"5be9c2e7baa65d000184d1b6",0.909090909090909,0.857142857142857,"False","True",1,1
"177",176,"5be9c2e7baa65d000184d1b6",0.363636363636364,0.285714285714286,"False","True",1,1
"178",177,"5be9c2e7baa65d000184d1b6",0.818181818181818,0.714285714285714,"False","True",1,1
"179",178,"5be9c2e7baa65d000184d1b6",0.636363636363636,0.428571428571429,"False","False",1,0
"180",179,"5be9c2e7baa65d000184d1b6",1,1,"False","False",1,0
"181",180,"5ac92684fa3b4e0001739586",0.222222222222222,0.285714285714286,"False","False",1,0
"182",181,"5ac92684fa3b4e0001739586",0.555555555555556,0.428571428571429,"False","True",1,1
"183",182,"5ac92684fa3b4e0001739586",0.888888888888889,0.857142857142857,"False","False",1,0
"184",183,"5ac92684fa3b4e0001739586",0.555555555555556,0.428571428571429,"False","False",1,0
"185",184,"5ac92684fa3b4e0001739586",0.888888888888889,0.857142857142857,"False","True",1,1
"186",185,"5ac92684fa3b4e0001739586",0.888888888888889,0.857142857142857,"False","False",1,0
